Date,week,matches_count
2023-08-11,1,1
2023-08-12,2,1
2023-08-12,3,1
2023-08-12,4,1
2023-08-12,5,1
2023-08-12,6,1
2023-08-12,7,1
2023-08-13,8,1
2023-08-13,9,1
2023-08-14,10,1
2023-08-18,11,1
2023-08-19,12,1
2023-08-19,13,1
2023-08-19,14,1
2023-08-19,15,1
2023-08-19,16,1
2023-08-20,17,1
2023-08-20,18,1
2023-08-21,19,1
2023-08-25,20,1
2023-08-26,21,1
2023-08-26,22,1
2023-08-26,23,1
2023-08-26,24,1
2023-08-26,25,1
2023-08-26,26,1
2023-08-27,27,1
2023-08-27,28,1
2023-08-27,29,1
2023-09-01,30,1
2023-09-02,31,1
2023-09-02,32,1
2023-09-02,33,1
2023-09-02,34,1
2023-09-02,35,1
2023-09-02,36,1
2023-09-03,37,1
2023-09-03,38,1
2023-09-03,39,1
2023-09-16,40,1
2023-09-16,41,1
2023-09-16,42,1
2023-09-16,43,1
2023-09-16,44,1
2023-09-16,45,1
2023-09-16,46,1
2023-09-17,47,1
2023-09-17,48,1
2023-09-18,49,1
2023-09-23,50,1
2023-09-23,51,1
2023-09-23,52,1
2023-09-23,53,1
2023-09-23,54,1
2023-09-24,55,1
2023-09-24,56,1
2023-09-24,57,1
2023-09-24,58,1
2023-09-24,59,1
2023-09-30,60,1
2023-09-30,61,1
2023-09-30,62,1
2023-09-30,63,1
2023-09-30,64,1
2023-09-30,65,1
2023-09-30,66,1
2023-09-30,67,1
2023-10-01,68,1
2023-10-02,69,1
2023-10-03,70,1
2023-10-07,71,1
2023-10-07,72,1
2023-10-07,73,1
2023-10-07,74,1
2023-10-07,75,1
2023-10-07,76,1
2023-10-08,77,1
2023-10-08,78,1
2023-10-08,79,1
2023-10-08,80,1
2023-10-21,81,1
2023-10-21,82,1
2023-10-21,83,1
2023-10-21,84,1
2023-10-21,85,1
2023-10-21,86,1
2023-10-21,87,1
2023-10-21,88,1
2023-10-22,89,1
2023-10-23,90,1
2023-10-27,91,1
2023-10-28,92,1
2023-10-28,93,1
2023-10-28,94,1
2023-10-28,95,1
2023-10-29,96,1
2023-10-29,97,1
2023-10-29,98,1
2023-10-29,99,1
2023-10-29,100,1
2023-11-04,101,1
2023-11-04,102,1
2023-11-04,103,1
2023-11-04,104,1
2023-11-04,105,1
2023-11-04,106,1
2023-11-04,107,1
2023-11-05,108,1
2023-11-05,109,1
2023-11-06,110,1
2023-11-11,111,1
2023-11-11,112,1
2023-11-11,113,1
2023-11-11,114,1
2023-11-11,115,1
2023-11-12,116,1
2023-11-12,117,1
2023-11-12,118,1
2023-11-12,119,1
2023-11-12,120,1
2023-11-25,121,1
2023-11-25,122,1
2023-11-25,123,1
2023-11-25,124,1
2023-11-25,125,1
2023-11-25,126,1
2023-11-25,127,1
2023-11-26,128,1
2023-11-26,129,1
2023-11-27,130,1
2023-12-02,131,1
2023-12-02,132,1
2023-12-02,133,1
2023-12-02,134,1
2023-12-02,135,1
2023-12-03,136,1
2023-12-03,137,1
2023-12-03,138,1
2023-12-03,139,1
2023-12-03,140,1
2023-12-05,141,1
2023-12-05,142,1
2023-12-06,143,1
2023-12-06,144,1
2023-12-06,145,1
2023-12-06,146,1
2023-12-06,147,1
2023-12-06,148,1
2023-12-07,149,1
2023-12-07,150,1
2023-12-09,151,1
2023-12-09,152,1
2023-12-09,153,1
2023-12-09,154,1
2023-12-09,155,1
2023-12-09,156,1
2023-12-10,157,1
2023-12-10,158,1
2023-12-10,159,1
2023-12-10,160,1
2023-12-15,161,1
2023-12-16,162,1
2023-12-16,163,1
2023-12-16,164,1
2023-12-16,165,1
2023-12-17,166,1
2023-12-17,167,1
2023-12-17,168,1
2023-12-17,169,1
2023-12-21,170,1
2023-12-22,171,1
2023-12-23,172,1
2023-12-23,173,1
2023-12-23,174,1
2023-12-23,175,1
2023-12-23,176,1
2023-12-23,177,1
2023-12-24,178,1
2023-12-26,179,1
2023-12-26,180,1
2023-12-26,181,1
2023-12-26,182,1
2023-12-26,183,1
2023-12-27,184,1
2023-12-27,185,1
2023-12-27,186,1
2023-12-28,187,1
2023-12-28,188,1
2023-12-30,189,1
2023-12-30,190,1
2023-12-30,191,1
2023-12-30,192,1
2023-12-30,193,1
2023-12-30,194,1
2023-12-31,195,1
2023-12-31,196,1
2024-01-01,197,1
2024-01-02,198,1
2024-01-12,199,1
2024-01-13,200,1
2024-01-13,201,1
2024-01-14,202,1
2024-01-14,203,1
2024-01-20,204,1
2024-01-20,205,1
2024-01-21,206,1
2024-01-21,207,1
2024-01-22,208,1
2024-01-30,209,1
2024-01-30,210,1
2024-01-30,211,1
2024-01-30,212,1
2024-01-30,213,1
2024-01-31,214,1
2024-01-31,215,1
2024-01-31,216,1
2024-02-01,217,1
2024-02-01,218,1
2024-02-03,219,1
2024-02-03,220,1
2024-02-03,221,1
2024-02-03,222,1
2024-02-03,223,1
2024-02-04,224,1
2024-02-04,225,1
2024-02-04,226,1
2024-02-04,227,1
2024-02-05,228,1
2024-02-10,229,1
2024-02-10,230,1
2024-02-10,231,1
2024-02-10,232,1
2024-02-10,233,1
2024-02-10,234,1
2024-02-10,235,1
2024-02-11,236,1
2024-02-11,237,1
2024-02-12,238,1
2024-02-17,239,1
2024-02-17,240,1
2024-02-17,241,1
2024-02-17,242,1
2024-02-17,243,1
2024-02-17,244,1
2024-02-17,245,1
2024-02-18,246,1
2024-02-18,247,1
2024-02-19,248,1
2024-02-20,249,1
2024-02-21,250,1
2024-02-24,251,1
2024-02-24,252,1
2024-02-24,253,1
2024-02-24,254,1
2024-02-24,255,1
2024-02-24,256,1
2024-02-25,257,1
2024-02-26,258,1
2024-03-02,259,1
2024-03-02,260,1
2024-03-02,261,1
2024-03-02,262,1
2024-03-02,263,1
2024-03-02,264,1
2024-03-02,265,1
2024-03-03,266,1
2024-03-03,267,1
2024-03-04,268,1
2024-03-09,269,1
2024-03-09,270,1
2024-03-09,271,1
2024-03-09,272,1
2024-03-09,273,1
2024-03-10,274,1
2024-03-10,275,1
2024-03-10,276,1
2024-03-10,277,1
2024-03-11,278,1
2024-03-13,279,1
2024-03-16,280,1
2024-03-16,281,1
2024-03-16,282,1
2024-03-17,283,1
2024-03-30,284,1
2024-03-30,285,1
2024-03-30,286,1
2024-03-30,287,1
2024-03-30,288,1
2024-03-30,289,1
2024-03-30,290,1
2024-03-30,291,1
2024-03-31,292,1
2024-03-31,293,1
2024-04-02,294,1
2024-04-02,295,1
2024-04-02,296,1
2024-04-02,297,1
2024-04-02,298,1
2024-04-03,299,1
2024-04-03,300,1
2024-04-03,301,1
2024-04-04,302,1
2024-04-04,303,1
2024-04-06,304,1
2024-04-06,305,1
2024-04-06,306,1
2024-04-06,307,1
2024-04-06,308,1
2024-04-06,309,1
2024-04-06,310,1
2024-04-07,311,1
2024-04-07,312,1
2024-04-07,313,1
2024-04-13,314,1
2024-04-13,315,1
2024-04-13,316,1
2024-04-13,317,1
2024-04-13,318,1
2024-04-13,319,1
2024-04-14,320,1
2024-04-14,321,1
2024-04-14,322,1
2024-04-15,323,1
2024-04-20,324,1
2024-04-20,325,1
2024-04-20,326,1
2024-04-21,327,1
2024-04-21,328,1
2024-04-21,329,1
2024-04-21,330,1
2024-04-23,331,1
2024-04-24,332,1
2024-04-24,333,1
2024-04-24,334,1
2024-04-24,335,1
2024-04-25,336,1
2024-04-27,337,1
2024-04-27,338,1
2024-04-27,339,1
2024-04-27,340,1
2024-04-27,341,1
2024-04-27,342,1
2024-04-27,343,1
2024-04-28,344,1
2024-04-28,345,1
2024-04-28,346,1
2024-05-02,347,1
2024-05-03,348,1
2024-05-04,349,1
2024-05-04,350,1
2024-05-04,351,1
2024-05-04,352,1
2024-05-04,353,1
2024-05-05,354,1
2024-05-05,355,1
2024-05-05,356,1
2024-05-06,357,1
2024-05-11,358,1
2024-05-11,359,1
2024-05-11,360,1
2024-05-11,361,1
2024-05-11,362,1
2024-05-11,363,1
2024-05-11,364,1
2024-05-11,365,1
2024-05-12,366,1
2024-05-13,367,1
2024-05-14,368,1
2024-05-15,369,1
2024-05-15,370,1
2024-05-19,371,1
2024-05-19,372,1
2024-05-19,373,1
2024-05-19,374,1
2024-05-19,375,1
2024-05-19,376,1
2024-05-19,377,1
2024-05-19,378,1
2024-05-19,379,1
2024-05-19,380,1
